12:04:08.479 [main                     ] DEBUG GameApplication      - Logger initialized
12:04:08.513 [main                     ] DEBUG GameApplication      - Logging settings
Title: BomberDAD
Version: 0.1
Width: 600
Height: 600
Fullscreen: false
Intro: false
Menus: false
Profiling: false
Single step:false
App Mode: DEVELOPER
Menu Key: ESCAPE
Stage Style: DECORATED
Scene Factory: class com.almasb.fxgl.app.SceneFactory
Dialog Factory: class com.almasb.fxgl.ui.FXGLDialogFactory
UI Factory: class com.almasb.fxgl.ui.FXGLUIFactory

12:04:09.100 [JavaFX Application Thread] DEBUG Engine               - Initializing FXGL
12:04:09.100 [JavaFX Application Thread] INFO  Engine               - FXGL-11.7 (05.01.2020 09.37) on WINDOWS (J:11.0.4 FX:11.0.1)
12:04:09.101 [JavaFX Application Thread] INFO  Engine               - Source code and latest versions at: https://github.com/AlmasB/FXGL
12:04:09.101 [JavaFX Application Thread] INFO  Engine               -              Join the FXGL chat at: https://gitter.im/AlmasB/FXGL
12:04:09.102 [JavaFX Application Thread] DEBUG Engine               - Initializing environment variables
12:04:09.105 [JavaFX Application Thread] DEBUG Engine               - Logging environment variables
12:04:09.105 [JavaFX Application Thread] DEBUG Engine               - achievements: []
12:04:09.105 [JavaFX Application Thread] DEBUG Engine               - sceneStack: com.almasb.fxgl.app.Engine@23f9a78d
12:04:09.105 [JavaFX Application Thread] DEBUG Engine               - language: ObjectProperty [value: ENGLISH]
12:04:09.106 [JavaFX Application Thread] DEBUG Engine               - isCloseConfirmation: false
12:04:09.106 [JavaFX Application Thread] DEBUG Engine               - isProfilingEnabled: false
12:04:09.106 [JavaFX Application Thread] DEBUG Engine               - soundNotification: core/notification.wav
12:04:09.106 [JavaFX Application Thread] DEBUG Engine               - devShowBBoxProperty: BooleanProperty [value: false]
12:04:09.108 [JavaFX Application Thread] DEBUG Engine               - pixelsPerMeter: 50.0
12:04:09.108 [JavaFX Application Thread] DEBUG Engine               - overlayRoot: Group@6cd5c401
12:04:09.109 [JavaFX Application Thread] DEBUG Engine               - soundMenuBack: menu/back.wav
12:04:09.109 [JavaFX Application Thread] DEBUG Engine               - appIcon: fxgl_icon.png
12:04:09.109 [JavaFX Application Thread] DEBUG Engine               - isFullScreenAllowed: false
12:04:09.109 [JavaFX Application Thread] DEBUG Engine               - isIntroEnabled: false
12:04:09.109 [JavaFX Application Thread] DEBUG Engine               - eventBus: com.almasb.fxgl.event.EventBus@56bee0f3
12:04:09.109 [JavaFX Application Thread] DEBUG Engine               - fontMono: lucida_console.ttf
12:04:09.110 [JavaFX Application Thread] DEBUG Engine               - soundMenuSelect: menu/select.wav
12:04:09.110 [JavaFX Application Thread] DEBUG Engine               - isWindows: true
